ville,date,temp,humidity,weather,is_rainy
Antananarivo,2025-07-04 06:00:00,13.98,72,Clouds,0
Antananarivo,2025-07-04 09:00:00,15.39,63,Clouds,0
Antananarivo,2025-07-04 12:00:00,16.57,55,Clouds,0
Antananarivo,2025-07-04 15:00:00,11.69,81,Clouds,0
Antananarivo,2025-07-04 18:00:00,9.53,93,Clouds,0
Antananarivo,2025-07-04 21:00:00,7.6,95,Clouds,0
Antananarivo,2025-07-05 00:00:00,5.79,96,Clouds,0
Antananarivo,2025-07-05 03:00:00,5.25,95,Clear,0
Antananarivo,2025-07-05 06:00:00,13.41,63,Clear,0
Antananarivo,2025-07-05 09:00:00,17.19,55,Clouds,0
Antananarivo,2025-07-05 12:00:00,16.75,58,Clouds,0
Antananarivo,2025-07-05 15:00:00,13.22,76,Clouds,0
Antananarivo,2025-07-05 18:00:00,9.59,95,Clouds,0
Antananarivo,2025-07-05 21:00:00,8.6,96,Clouds,0
Antananarivo,2025-07-06 00:00:00,10.92,80,Clouds,0
Antananarivo,2025-07-06 03:00:00,6.34,95,Clouds,0
Antananarivo,2025-07-06 06:00:00,15.17,52,Clouds,0
Antananarivo,2025-07-06 09:00:00,20.78,40,Clouds,0
Antananarivo,2025-07-06 12:00:00,19.4,53,Clouds,0
Antananarivo,2025-07-06 15:00:00,13.74,81,Clouds,0
Antananarivo,2025-07-06 18:00:00,13.14,86,Clouds,0
Antananarivo,2025-07-06 21:00:00,11.92,93,Clouds,0
Antananarivo,2025-07-07 00:00:00,11.6,95,Clouds,0
Antananarivo,2025-07-07 03:00:00,10.89,94,Clouds,0
Antananarivo,2025-07-07 06:00:00,16.67,62,Clouds,0
Antananarivo,2025-07-07 09:00:00,21.83,38,Clear,0
Antananarivo,2025-07-07 12:00:00,21.76,40,Clouds,0
Antananarivo,2025-07-07 15:00:00,15.18,70,Clouds,0
Antananarivo,2025-07-07 18:00:00,13.52,83,Clouds,0
Antananarivo,2025-07-07 21:00:00,13.35,87,Clouds,0
Antananarivo,2025-07-08 00:00:00,12.82,87,Clouds,0
Antananarivo,2025-07-08 03:00:00,13.37,86,Rain,1
Antananarivo,2025-07-08 06:00:00,14.6,75,Clouds,0
Antananarivo,2025-07-08 09:00:00,20.7,38,Clouds,0
Antananarivo,2025-07-08 12:00:00,20.63,43,Clouds,0
Antananarivo,2025-07-08 15:00:00,13.89,84,Clouds,0
Antananarivo,2025-07-08 18:00:00,12.38,88,Clouds,0
Antananarivo,2025-07-08 21:00:00,12.85,83,Clouds,0
Antananarivo,2025-07-09 00:00:00,12.91,82,Clouds,0
Antananarivo,2025-07-09 03:00:00,12.62,87,Clouds,0
Paris,2025-07-04 06:00:00,15.71,73,Clear,0
Paris,2025-07-04 09:00:00,17.81,61,Clear,0
Paris,2025-07-04 12:00:00,22.44,37,Clear,0
Paris,2025-07-04 15:00:00,27.71,17,Clear,0
Paris,2025-07-04 18:00:00,24.58,19,Clouds,0
Paris,2025-07-04 21:00:00,23.08,32,Clouds,0
Paris,2025-07-05 00:00:00,20.0,40,Clouds,0
Paris,2025-07-05 03:00:00,18.16,39,Clouds,0
Paris,2025-07-05 06:00:00,18.58,35,Clouds,0
Paris,2025-07-05 09:00:00,23.15,27,Clouds,0
Paris,2025-07-05 12:00:00,27.03,22,Clouds,0
Paris,2025-07-05 15:00:00,29.36,17,Clouds,0
Paris,2025-07-05 18:00:00,26.58,25,Clouds,0
Paris,2025-07-05 21:00:00,22.03,36,Clouds,0
Paris,2025-07-06 00:00:00,20.13,51,Clouds,0
Paris,2025-07-06 03:00:00,18.91,62,Clouds,0
Paris,2025-07-06 06:00:00,16.55,91,Rain,1
Paris,2025-07-06 09:00:00,17.45,88,Rain,1
Paris,2025-07-06 12:00:00,21.88,62,Rain,1
Paris,2025-07-06 15:00:00,21.48,74,Rain,1
Paris,2025-07-06 18:00:00,20.2,78,Rain,1
Paris,2025-07-06 21:00:00,18.69,74,Rain,1
Paris,2025-07-07 00:00:00,17.61,72,Clouds,0
Paris,2025-07-07 03:00:00,16.24,68,Clouds,0
Paris,2025-07-07 06:00:00,15.69,69,Clouds,0
Paris,2025-07-07 09:00:00,17.77,68,Rain,1
Paris,2025-07-07 12:00:00,21.03,47,Rain,1
Paris,2025-07-07 15:00:00,20.26,42,Clouds,0
Paris,2025-07-07 18:00:00,20.85,36,Clouds,0
Paris,2025-07-07 21:00:00,17.55,62,Clouds,0
Paris,2025-07-08 00:00:00,15.68,80,Rain,1
Paris,2025-07-08 03:00:00,15.28,74,Clouds,0
Paris,2025-07-08 06:00:00,16.17,61,Clouds,0
Paris,2025-07-08 09:00:00,20.72,40,Clouds,0
Paris,2025-07-08 12:00:00,24.18,24,Clouds,0
Paris,2025-07-08 15:00:00,24.74,20,Clear,0
Paris,2025-07-08 18:00:00,23.31,23,Clear,0
Paris,2025-07-08 21:00:00,19.92,34,Clear,0
Paris,2025-07-09 00:00:00,17.34,47,Clear,0
Paris,2025-07-09 03:00:00,16.27,53,Clear,0
Tokyo,2025-07-04 06:00:00,32.69,57,Clouds,0
Tokyo,2025-07-04 09:00:00,31.38,60,Rain,1
Tokyo,2025-07-04 12:00:00,28.82,69,Rain,1
Tokyo,2025-07-04 15:00:00,26.96,77,Clouds,0
Tokyo,2025-07-04 18:00:00,27.39,74,Clouds,0
Tokyo,2025-07-04 21:00:00,27.35,74,Clouds,0
Tokyo,2025-07-05 00:00:00,29.84,63,Clouds,0
Tokyo,2025-07-05 03:00:00,30.54,59,Rain,1
Tokyo,2025-07-05 06:00:00,29.49,63,Rain,1
Tokyo,2025-07-05 09:00:00,28.79,64,Clouds,0
