ville,date,temp,humidity,weather,is_rainy
Tokyo,2025-07-01 00:00:00,29.26,64,Clouds,0
Tokyo,2025-07-01 03:00:00,31.52,55,Clouds,0
Tokyo,2025-07-01 06:00:00,30.11,61,Rain,1
Tokyo,2025-07-01 09:00:00,28.34,70,Clouds,0
Tokyo,2025-07-01 12:00:00,26.64,79,Clouds,0
Tokyo,2025-07-01 15:00:00,26.31,81,Clouds,0
Tokyo,2025-07-01 18:00:00,25.67,84,Clouds,0
Tokyo,2025-07-01 21:00:00,26.16,81,Rain,1
Tokyo,2025-07-02 00:00:00,26.13,81,Rain,1
Tokyo,2025-07-02 03:00:00,25.46,85,Rain,1
Tokyo,2025-07-02 06:00:00,24.66,85,Rain,1
Tokyo,2025-07-02 09:00:00,25.46,83,Rain,1
Tokyo,2025-07-02 12:00:00,25.0,80,Clouds,0
Tokyo,2025-07-02 15:00:00,24.38,88,Clouds,0
Tokyo,2025-07-02 18:00:00,24.27,87,Clouds,0
Tokyo,2025-07-02 21:00:00,24.61,83,Rain,1
Tokyo,2025-07-03 00:00:00,27.24,68,Clouds,0
Tokyo,2025-07-03 03:00:00,30.11,53,Clouds,0
Tokyo,2025-07-03 06:00:00,30.75,53,Clouds,0
Tokyo,2025-07-03 09:00:00,29.52,54,Clear,0
Tokyo,2025-07-03 12:00:00,26.95,62,Clouds,0
Tokyo,2025-07-03 15:00:00,25.91,65,Clouds,0
Tokyo,2025-07-03 18:00:00,25.29,69,Clouds,0
Tokyo,2025-07-03 21:00:00,25.29,69,Clouds,0
Tokyo,2025-07-04 00:00:00,27.84,56,Clouds,0
Tokyo,2025-07-04 03:00:00,31.04,45,Clouds,0
Tokyo,2025-07-04 06:00:00,32.48,43,Clouds,0
Tokyo,2025-07-04 09:00:00,30.32,50,Clear,0
Tokyo,2025-07-04 12:00:00,27.55,62,Clouds,0
Tokyo,2025-07-04 15:00:00,26.7,67,Clouds,0
Tokyo,2025-07-04 18:00:00,26.22,72,Clouds,0
London,2025-06-29 21:00:00,24.61,71,Clouds,0
London,2025-06-30 00:00:00,23.4,70,Clouds,0
London,2025-06-30 03:00:00,21.56,73,Clouds,0
London,2025-06-30 06:00:00,21.81,64,Clouds,0
London,2025-06-30 09:00:00,27.1,47,Clear,0
London,2025-06-30 12:00:00,30.97,31,Clear,0
London,2025-06-30 15:00:00,34.11,25,Clear,0
London,2025-06-30 18:00:00,32.5,29,Clear,0
London,2025-06-30 21:00:00,27.46,42,Clear,0
London,2025-07-01 00:00:00,24.41,58,Clear,0
London,2025-07-01 03:00:00,21.96,71,Clear,0
London,2025-07-01 06:00:00,21.55,72,Clouds,0
London,2025-07-01 09:00:00,25.47,52,Clouds,0
London,2025-07-01 12:00:00,30.05,37,Clouds,0
London,2025-07-01 15:00:00,32.3,29,Clouds,0
London,2025-07-01 18:00:00,25.03,57,Clouds,0
London,2025-07-01 21:00:00,21.74,65,Clouds,0
London,2025-07-02 00:00:00,18.21,71,Clouds,0
London,2025-07-02 03:00:00,16.02,83,Rain,1
London,2025-07-02 06:00:00,16.34,86,Rain,1
London,2025-07-02 09:00:00,21.22,65,Rain,1
London,2025-07-02 12:00:00,26.57,46,Clouds,0
London,2025-07-02 15:00:00,22.95,64,Rain,1
London,2025-07-02 18:00:00,17.46,83,Rain,1
London,2025-07-02 21:00:00,16.31,76,Rain,1
London,2025-07-03 00:00:00,13.95,85,Clouds,0
London,2025-07-03 03:00:00,13.91,79,Clouds,0
London,2025-07-03 06:00:00,14.18,69,Clouds,0
London,2025-07-03 09:00:00,18.57,47,Clouds,0
London,2025-07-03 12:00:00,23.1,29,Clouds,0
London,2025-07-03 15:00:00,24.85,23,Clear,0
London,2025-07-03 18:00:00,24.4,23,Clouds,0
London,2025-07-03 21:00:00,19.86,43,Clouds,0
London,2025-07-04 00:00:00,17.43,52,Clouds,0
London,2025-07-04 03:00:00,15.15,64,Clear,0
London,2025-07-04 06:00:00,15.96,57,Clouds,0
London,2025-07-04 09:00:00,20.35,39,Clouds,0
London,2025-07-04 12:00:00,23.61,27,Clouds,0
London,2025-07-04 15:00:00,25.29,27,Clouds,0
London,2025-07-04 18:00:00,23.41,29,Clouds,0
