ville,date,temp,humidity,weather
Antananarivo,2025-07-04 06:00:00,13.98,72,Clouds
Antananarivo,2025-07-04 09:00:00,15.39,63,Clouds
Antananarivo,2025-07-04 12:00:00,16.57,55,Clouds
Antananarivo,2025-07-04 15:00:00,11.69,81,Clouds
Antananarivo,2025-07-04 18:00:00,9.53,93,Clouds
Antananarivo,2025-07-04 21:00:00,7.6,95,Clouds
Antananarivo,2025-07-05 00:00:00,5.79,96,Clouds
Antananarivo,2025-07-05 03:00:00,5.25,95,Clear
Antananarivo,2025-07-05 06:00:00,13.41,63,Clear
Antananarivo,2025-07-05 09:00:00,17.19,55,Clouds
Antananarivo,2025-07-05 12:00:00,16.75,58,Clouds
Antananarivo,2025-07-05 15:00:00,13.22,76,Clouds
Antananarivo,2025-07-05 18:00:00,9.59,95,Clouds
Antananarivo,2025-07-05 21:00:00,8.6,96,Clouds
Antananarivo,2025-07-06 00:00:00,10.92,80,Clouds
Antananarivo,2025-07-06 03:00:00,6.34,95,Clouds
Antananarivo,2025-07-06 06:00:00,15.17,52,Clouds
Antananarivo,2025-07-06 09:00:00,20.78,40,Clouds
Antananarivo,2025-07-06 12:00:00,19.4,53,Clouds
Antananarivo,2025-07-06 15:00:00,13.74,81,Clouds
Antananarivo,2025-07-06 18:00:00,13.14,86,Clouds
Antananarivo,2025-07-06 21:00:00,11.92,93,Clouds
Antananarivo,2025-07-07 00:00:00,11.6,95,Clouds
Antananarivo,2025-07-07 03:00:00,10.89,94,Clouds
Antananarivo,2025-07-07 06:00:00,16.67,62,Clouds
Antananarivo,2025-07-07 09:00:00,21.83,38,Clear
Antananarivo,2025-07-07 12:00:00,21.76,40,Clouds
Antananarivo,2025-07-07 15:00:00,15.18,70,Clouds
Antananarivo,2025-07-07 18:00:00,13.52,83,Clouds
Antananarivo,2025-07-07 21:00:00,13.35,87,Clouds
Antananarivo,2025-07-08 00:00:00,12.82,87,Clouds
Antananarivo,2025-07-08 03:00:00,13.37,86,Rain
Antananarivo,2025-07-08 06:00:00,14.6,75,Clouds
Antananarivo,2025-07-08 09:00:00,20.7,38,Clouds
Antananarivo,2025-07-08 12:00:00,20.63,43,Clouds
Antananarivo,2025-07-08 15:00:00,13.89,84,Clouds
Antananarivo,2025-07-08 18:00:00,12.38,88,Clouds
Antananarivo,2025-07-08 21:00:00,12.85,83,Clouds
Antananarivo,2025-07-09 00:00:00,12.91,82,Clouds
Antananarivo,2025-07-09 03:00:00,12.62,87,Clouds
Paris,2025-07-04 06:00:00,15.71,73,Clear
Paris,2025-07-04 09:00:00,17.81,61,Clear
Paris,2025-07-04 12:00:00,22.44,37,Clear
Paris,2025-07-04 15:00:00,27.71,17,Clear
Paris,2025-07-04 18:00:00,24.58,19,Clouds
Paris,2025-07-04 21:00:00,23.08,32,Clouds
Paris,2025-07-05 00:00:00,20.0,40,Clouds
Paris,2025-07-05 03:00:00,18.16,39,Clouds
Paris,2025-07-05 06:00:00,18.58,35,Clouds
Paris,2025-07-05 09:00:00,23.15,27,Clouds
Paris,2025-07-05 12:00:00,27.03,22,Clouds
Paris,2025-07-05 15:00:00,29.36,17,Clouds
Paris,2025-07-05 18:00:00,26.58,25,Clouds
Paris,2025-07-05 21:00:00,22.03,36,Clouds
Paris,2025-07-06 00:00:00,20.13,51,Clouds
Paris,2025-07-06 03:00:00,18.91,62,Clouds
Paris,2025-07-06 06:00:00,16.55,91,Rain
Paris,2025-07-06 09:00:00,17.45,88,Rain
Paris,2025-07-06 12:00:00,21.88,62,Rain
Paris,2025-07-06 15:00:00,21.48,74,Rain
Paris,2025-07-06 18:00:00,20.2,78,Rain
Paris,2025-07-06 21:00:00,18.69,74,Rain
Paris,2025-07-07 00:00:00,17.61,72,Clouds
Paris,2025-07-07 03:00:00,16.24,68,Clouds
Paris,2025-07-07 06:00:00,15.69,69,Clouds
Paris,2025-07-07 09:00:00,17.77,68,Rain
Paris,2025-07-07 12:00:00,21.03,47,Rain
Paris,2025-07-07 15:00:00,20.26,42,Clouds
Paris,2025-07-07 18:00:00,20.85,36,Clouds
Paris,2025-07-07 21:00:00,17.55,62,Clouds
Paris,2025-07-08 00:00:00,15.68,80,Rain
Paris,2025-07-08 03:00:00,15.28,74,Clouds
Paris,2025-07-08 06:00:00,16.17,61,Clouds
Paris,2025-07-08 09:00:00,20.72,40,Clouds
Paris,2025-07-08 12:00:00,24.18,24,Clouds
Paris,2025-07-08 15:00:00,24.74,20,Clear
Paris,2025-07-08 18:00:00,23.31,23,Clear
Paris,2025-07-08 21:00:00,19.92,34,Clear
