date,jour,mois,annee,ville,temp,is_rainy
2020-10-15,15,10,2020,Antananarivo,19.0,0
2020-10-16,16,10,2020,Antananarivo,20.1,1
2020-10-17,17,10,2020,Antananarivo,20.1,1
2020-10-18,18,10,2020,Antananarivo,18.8,1
2020-10-19,19,10,2020,Antananarivo,19.2,0
2020-10-20,20,10,2020,Antananarivo,18.9,0
2020-10-21,21,10,2020,Antananarivo,19.3,0
2020-10-22,22,10,2020,Antananarivo,18.3,0
2020-10-23,23,10,2020,Antananarivo,18.6,0
2020-10-24,24,10,2020,Antananarivo,18.9,1
2020-10-25,25,10,2020,Antananarivo,18.6,0
2020-10-26,26,10,2020,Antananarivo,19.3,1
2020-10-27,27,10,2020,Antananarivo,19.0,1
2020-10-28,28,10,2020,Antananarivo,18.9,0
2020-10-29,29,10,2020,Antananarivo,17.9,1
2020-10-30,30,10,2020,Antananarivo,17.1,0
2020-10-31,31,10,2020,Antananarivo,15.5,0
2020-11-01,1,11,2020,Antananarivo,18.8,0
2020-11-02,2,11,2020,Antananarivo,18.9,0
2020-11-03,3,11,2020,Antananarivo,19.7,0
2020-11-04,4,11,2020,Antananarivo,20.5,0
2020-11-05,5,11,2020,Antananarivo,21.6,0
2020-11-06,6,11,2020,Antananarivo,22.1,0
2020-11-07,7,11,2020,Antananarivo,22.5,0
2020-11-08,8,11,2020,Antananarivo,21.5,0
2020-11-09,9,11,2020,Antananarivo,19.1,0
2020-11-10,10,11,2020,Antananarivo,20.6,0
2020-11-11,11,11,2020,Antananarivo,21.6,0
2020-11-12,12,11,2020,Antananarivo,20.6,1
2020-11-13,13,11,2020,Antananarivo,21.1,1
2020-11-14,14,11,2020,Antananarivo,19.6,1
2020-11-15,15,11,2020,Antananarivo,19.2,1
2020-11-16,16,11,2020,Antananarivo,19.8,1
2020-11-17,17,11,2020,Antananarivo,20.2,0
2020-11-18,18,11,2020,Antananarivo,20.4,0
2020-11-19,19,11,2020,Antananarivo,21.2,0
2020-11-20,20,11,2020,Antananarivo,22.4,1
2020-11-21,21,11,2020,Antananarivo,22.5,1
2020-11-22,22,11,2020,Antananarivo,21.4,1
2020-11-23,23,11,2020,Antananarivo,22.0,1
2020-11-24,24,11,2020,Antananarivo,21.6,0
2020-11-25,25,11,2020,Antananarivo,21.0,0
2020-11-26,26,11,2020,Antananarivo,20.9,0
2020-11-27,27,11,2020,Antananarivo,21.8,0
2020-11-28,28,11,2020,Antananarivo,22.6,1
2020-11-29,29,11,2020,Antananarivo,22.9,1
2020-11-30,30,11,2020,Antananarivo,22.4,1
2020-12-01,1,12,2020,Antananarivo,21.1,1
2020-12-02,2,12,2020,Antananarivo,21.7,1
2020-12-03,3,12,2020,Antananarivo,22.6,1
2020-12-04,4,12,2020,Antananarivo,21.8,1
2020-12-05,5,12,2020,Antananarivo,21.3,1
2020-12-06,6,12,2020,Antananarivo,21.0,1
2020-12-07,7,12,2020,Antananarivo,21.0,1
2020-12-08,8,12,2020,Antananarivo,20.3,1
2020-12-09,9,12,2020,Antananarivo,18.4,1
2020-12-10,10,12,2020,Antananarivo,19.2,1
2020-12-11,11,12,2020,Antananarivo,18.0,1
2020-12-12,12,12,2020,Antananarivo,18.4,1
2020-12-13,13,12,2020,Antananarivo,18.9,1
2020-12-14,14,12,2020,Antananarivo,19.6,0
2020-12-15,15,12,2020,Antananarivo,20.0,0
2020-12-16,16,12,2020,Antananarivo,20.8,1
2020-12-17,17,12,2020,Antananarivo,21.8,1
2020-12-18,18,12,2020,Antananarivo,21.5,1
2020-12-19,19,12,2020,Antananarivo,22.1,1
2020-12-20,20,12,2020,Antananarivo,21.7,1
