ville,date,temp,is_rainy
Tokyo,2025-07-04 15:00:00,26.42,0
Tokyo,2025-07-04 18:00:00,26.39,0
Tokyo,2025-07-04 21:00:00,26.37,0
Tokyo,2025-07-05 00:00:00,28.76,0
Tokyo,2025-07-05 03:00:00,31.58,1
Tokyo,2025-07-05 06:00:00,31.55,0
Tokyo,2025-07-05 09:00:00,30.23,0
Tokyo,2025-07-05 12:00:00,28.2,1
Tokyo,2025-07-05 15:00:00,26.79,1
Tokyo,2025-07-05 18:00:00,26.39,0
Tokyo,2025-07-05 21:00:00,26.82,0
Tokyo,2025-07-06 00:00:00,29.1,0
Tokyo,2025-07-06 03:00:00,32.8,0
Tokyo,2025-07-06 06:00:00,34.25,0
Tokyo,2025-07-06 09:00:00,31.31,0
Tokyo,2025-07-06 12:00:00,28.16,0
Tokyo,2025-07-06 15:00:00,27.26,0
Tokyo,2025-07-06 18:00:00,26.94,0
Tokyo,2025-07-06 21:00:00,27.09,0
Tokyo,2025-07-07 00:00:00,29.64,0
Tokyo,2025-07-07 03:00:00,33.22,0
Tokyo,2025-07-07 06:00:00,32.31,0
Tokyo,2025-07-07 09:00:00,30.78,0
Tokyo,2025-07-07 12:00:00,28.64,0
Tokyo,2025-07-07 15:00:00,27.62,0
