ville,day,temp,is_rainy
Antananarivo,2025-07-04,12.215,0
Antananarivo,2025-07-05,11.225,0
Antananarivo,2025-07-06,13.92625,0
Antananarivo,2025-07-07,15.6,0
Antananarivo,2025-07-08,15.155,1
Antananarivo,2025-07-09,14.94,0
London,2025-07-04,22.26,0
London,2025-07-05,17.33625,1
London,2025-07-06,17.68375,1
London,2025-07-07,17.26,1
London,2025-07-08,19.24625,0
London,2025-07-09,17.880000000000003,0
Paris,2025-07-04,24.2775,0
Paris,2025-07-05,22.6375,0
Paris,2025-07-06,18.47625,1
Paris,2025-07-07,18.15,1
Paris,2025-07-08,19.85625,0
Paris,2025-07-09,18.5225,0
Tokyo,2025-07-04,28.045,1
Tokyo,2025-07-05,28.7125,1
Tokyo,2025-07-06,30.08,0
Tokyo,2025-07-07,29.4225,0
Tokyo,2025-07-08,29.12375,0
Tokyo,2025-07-09,31.282500000000002,0
